"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-10-29","MI","A+",7653,7298,47,355,,,1332,0,,320,4610674,48606,,,4610674,,153,190043,171220,4109,0,,,,,229615,114939,,0,4800717,52715,327051,,,,,0,4840289,107564
"2020-10-28","MI","A+",7606,7257,21,349,,,1332,0,,320,4562068,50942,,,4562068,,153,185934,167545,3590,0,,,,,225150,114939,,0,4748002,54532,323494,,,,,0,4732725,0
"2020-10-27","MI","A+",7585,7239,33,346,,,1332,0,,320,4511126,38407,,,4511126,,146,182344,164274,2675,0,,,,,221599,114939,,0,4693470,41082,323494,,,,,0,4732725,41246
"2020-10-26","MI","A+",7552,7211,30,341,,,1332,0,,320,4472719,68340,,,4472719,,140,179669,161907,4057,0,,,,,218760,114939,,0,4652388,72397,322810,,,,,0,4691479,72917
"2020-10-25","MI","A+",7522,7182,0,340,,,1182,0,,273,4404379,0,,,4404379,,121,175612,158026,0,0,,,,,214183,114939,,0,4579991,0,321825,,,,,0,4618562,0
"2020-10-24","MI","A+",7522,7182,38,340,,,1182,0,,273,4404379,50615,,,4404379,,121,175612,158026,3490,0,,,,,214183,114939,,0,4579991,54105,321825,,,,,0,4618562,53493
"2020-10-23","MI","A+",7484,7147,20,337,,,1182,0,,273,4353764,54977,,,4353764,,121,172122,154688,2046,0,,,,,211305,109539,,0,4525886,57023,318590,,,,,0,4565069,58181
"2020-10-22","MI","A+",7464,7129,46,335,,,1182,0,,273,4298787,45828,,,4298787,,112,170076,152862,2204,0,,,,,208101,109539,,0,4468863,48032,317645,,,,,0,4506888,48224
"2020-10-21","MI","A+",7418,7086,35,332,,,1050,0,,267,4252959,33162,,,4252959,,112,167872,150989,1878,0,,,,,205705,109539,,0,4420831,35040,316762,,,,,0,4458664,35177
"2020-10-20","MI","A+",7383,7053,20,330,,,1050,0,,267,4219797,48296,,,4219797,,106,165994,149392,1871,0,,,,,203690,109539,,0,4385791,50167,316115,,,,,0,4423487,50752
"2020-10-19","MI","A+",7363,7031,46,332,,,1050,0,,267,4171501,59863,,,4171501,,95,164123,147806,5004,0,,,,,201234,109539,,0,4335624,64867,315661,,,,,0,4372735,111021
"2020-10-18","MI","A+",7317,6987,0,330,,,1000,0,,254,4111638,0,,,4111638,,94,159119,143106,0,0,,,,,197889,109539,,0,4270757,0,310344,,,,,0,4261714,0
"2020-10-17","MI","A+",7317,6987,0,330,,,1000,0,,254,4111638,45347,,,4111638,,94,159119,143106,0,0,,,,,197889,109539,,0,4270757,45347,310344,,,,,0,4261714,0
"2020-10-16","MI","A+",7317,6987,15,330,,,1000,0,,254,4066291,51215,,,4066291,,94,159119,143106,2206,0,,,,,195423,104271,,0,4225410,53421,310344,,,,,0,4261714,53356
"2020-10-15","MI","A+",7302,6973,34,329,,,1000,0,,254,4015076,40119,,,4015076,,95,156913,141091,2458,0,,,,,193282,104271,,0,4171989,42577,309383,,,,,0,4208358,42122
"2020-10-14","MI","A+",7268,6941,13,327,,,899,0,,230,3974957,28260,,,3974957,,95,154455,139061,1593,0,,,,,191279,104271,,0,4129412,29853,308581,,,,,0,4166236,29588
"2020-10-13","MI","A+",7255,6928,30,327,,,899,0,,230,3946697,36996,,,3946697,,95,152862,137702,1466,0,,,,,189951,104271,,0,4099559,38462,308055,,,,,0,4136648,38839
"2020-10-12","MI","A+",7225,6898,6,327,,,899,0,,230,3909701,48856,,,3909701,,105,151396,136465,1932,0,,,,,188108,104271,,0,4061097,50788,307599,,,,,0,4097809,51027
"2020-10-11","MI","A+",7219,6891,0,328,,,862,0,,220,3860845,0,,,3860845,,85,149464,134656,0,0,,,,,185937,104271,,0,4010309,0,306564,,,,,0,4046782,0
"2020-10-10","MI","A+",7219,6891,19,328,,,862,0,,220,3860845,43645,,,3860845,,85,149464,134656,1648,0,,,,,185937,104271,,0,4010309,45293,306564,,,,,0,4046782,45518
"2020-10-09","MI","A+",7200,6876,7,324,,,862,0,,220,3817200,41853,,,3817200,,85,147816,133134,1323,0,,,,,184064,99521,,0,3965016,43176,303491,,,,,0,4001264,43498
"2020-10-08","MI","A+",7193,6869,24,324,,,862,0,,220,3775347,40804,,,3775347,,85,146493,132039,1401,0,,,,,182419,99521,,0,3921840,42205,302572,,,,,0,3957766,42115
